Facility.ID,PSI_03.x,PSI_06.x,PSI_08.x,PSI_09.x,PSI_10.x,PSI_11.x,PSI_12.x,PSI_13.x,PSI_14.x,PSI_15.x,PSI_90.x,MORT_30_COPD,MORT_30_HF,MORT_30_PN,READM-30-HF-HRRP,READM-30-COPD-HRRP,READM-30-PN-HRRP,H_COMP_1_STAR_RATING.x,H_COMP_2_STAR_RATING.x,H_COMP_3_STAR_RATING.x,H_COMP_5_STAR_RATING.x,H_COMP_6_STAR_RATING.x,H_COMP_7_STAR_RATING.x,H_CLEAN_STAR_RATING.x,H_QUIET_STAR_RATING.x,H_HSP_RATING_STAR_RATING.x,H_RECMND_STAR_RATING.x,H_STAR_RATING.x,HAI_6_SIR,OP-10,OP_18b,SEP_1,SEP_SH_3HR,SEV_SEP_3HR,SEV_SEP_6HR,EDAC_30_HF,EDAC_30_PN,OP_32,OP_36,READM_30_COPD,READM_30_HF,READM_30_HOSP_WIDE,READM_30_PN,PSI.90.W.Z.Score,CAUTI.W.Z.Score,CDI.W.Z.Score,Total.HAC.Score,MSPB-1.x,MORT.30.COPD.Measure.Score,MORT.30.HF.Measure.Score,MORT.30.PN.Measure.Score,MSPB.1.Measure.Score,Communication.with.Nurses.Dimension.Score,Communication.with.Doctors.Dimension.Score,Responsiveness.of.Hospital.Staff.Dimension.Score,Care.Transition.Dimension.Score,Communication.About.Medicines.Dimension.Score,Cleanliness.and.Quietness.of.Hospital.Environment.Dimension.Score,Discharge.Information.Dimension.Score,Overall.Rating.of.Hospital.Dimension.Score,HCAHPS.Base.Score,HCAHPS.Consistency.Score,HAI.6.Measure.Score,Weighted.Normalized.Clinical.Outcomes.Domain.Score,Unweighted.Person.and.Community.Engagement.Domain.Score,Weighted.Person.and.Community.Engagement.Domain.Score,Unweighted.Normalized.Efficiency.and.Cost.Reduction.Domain.Score,Weighted.Efficiency.and.Cost.Reduction.Domain.Score,Total.Performance.Score
10001,0.324846,0.159789,0.087809,2.934697,1.001075,4.207372,3.063311,4.413214,0.783725,1.273853,0.812611,8.3,8.9,14.5,1.0702,1.056,0.9232,3,3,3,3,4,3,3,4,3,4,3,0.56,1.1,183,55,82,75,90,16.1,-7.1,14.1,0.9,21.2,22.8,15.5,16.3,-0.3375,-0.4612,-0.3173,-0.3958,1.020251,2,3,6,0,3,1,4,3,4,3,6,2,26,19,3,15,45,11.25,0,0,36.25
10005,1.209887,0.212169,0.092103,2.151389,1.159824,7.543014,3.785178,4.211586,0.840449,1.000942,1.193776,8.6,16.7,18,1.0267,0.9562,0.9796,3,4,3,3,4,3,2,4,3,3,3,0.708,5,122,64,92,76,96,15.5,12.9,14.8,0.9,18.1,22.8,14.7,16.1,0.0881,0.5331,-0.685,0.5547,1.011867,0,0,4,0,0,6,0,0,4,2,5,0,17,18,3,9.5,35,8.75,0,0,28.25
10006,1.110518,0.304747,0.089731,2.957849,1.167554,7.195029,3.340863,4.760645,0.805441,1.144432,1.193355,7.8,12.4,16.3,0.863,0.9531,1.0523,3,3,1,2,2,2,2,4,3,3,2,0.356,4.4,171,33,70,63,74,-8.1,39.2,13.6,1,18.2,19.5,15.7,18.6,0.6333,-0.1304,-0.5237,-0.0853,1.016924,0,4,2,0,1,3,0,0,0,5,0,3,12,13,5,5.5,25,6.25,0,0,25.75
10007,0.460704,0.226862,0.095159,2.517095,NA,NA,3.493108,NA,0.848936,1.163795,0.940261,8.9,12.6,19.2,1.124,0.9899,1.0448,3,3,3,4,4,4,3,5,3,3,4,0,1.1,110,100,100,100,100,8,13.9,18.4,1,20,23.2,15.7,17.1,-0.469,-1.5517,-0.3689,-0.7965,1.110418,0,0,2,0,3,7,4,6,4,5,5,0,34,18,10,2.222222222222,52,17.333333333333,0,0,19.555555555556
10008,0.56047,0.22986,0.095551,NA,NA,NA,NA,NA,NA,NA,0.990089,10.4,NA,16.6,NA,0.9889,0.9655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,97,NA,NA,NA,NA,NA,2,18.7,NA,19.4,NA,15.3,16.3,0.0247,NA,NA,0.0247,1.102381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10011,0.392465,0.29744,0.091824,2.956353,1.796232,5.360293,3.661062,6.292115,0.8263,0.915029,1.055858,8.9,11,16.1,0.9291,0.9297,0.9799,3,3,3,3,3,3,2,3,3,3,3,0.252,3.2,183,34,64,66,84,64.8,27.4,16.6,1,19.5,22,16.3,16.8,1.3464,0.284,-0.5592,0.0556,1.029416,0,3,1,0,0,2,3,1,0,0,2,1,9,19,6,6.5,28,7,0,0,21.5
10012,0.38103,0.221917,0.094731,2.459101,1.396764,4.858935,3.192685,4.783089,0.84905,1.147132,0.897855,7.7,13.2,16.7,1.0652,1.0069,0.9623,2,3,2,2,3,1,3,4,2,1,2,0.213,1.7,159,85,95,94,97,20.4,-5.3,16.9,0.8,20.1,22.8,15.6,16.2,-0.8723,-1.0116,-0.7753,-0.8923,0.977056,4,0,7,3,0,0,0,0,0,2,0,0,2,12,8,11.25,14,3.5,30,7.5,44.75
10016,0.451367,0.201977,0.091803,2.923572,1.960347,6.576859,2.988187,6.347909,1.126568,0.940652,1.074912,8.8,13.2,14.4,0.9727,1.0063,1.0528,2,3,3,3,3,3,2,3,3,3,3,0.497,5.1,185,63,90,75,92,-4.8,9.3,16.3,0.9,20,21.4,15.4,17,-0.0893,-0.4549,-0.5076,-0.5064,1.043276,2,3,4,0,0,0,2,0,1,0,0,0,3,18,5,12,21,5.25,0,0,33.75
10018,NA,0.230269,0.095638,2.514557,1.41671,4.982204,3.608133,NA,NA,NA,0.990128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,-0.0906,NA,NA,-0.0906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10019,0.221879,0.250457,0.105071,2.34569,NA,NA,3.942543,NA,0.985894,1.351843,0.917085,6.7,12.1,15.7,0.9281,1.0663,0.9689,4,4,3,4,3,3,3,4,4,4,4,0.54,4.8,112,78,90,91,96,-0.5,7.6,16.8,0.9,20.8,20.6,15.8,16.4,-0.1353,-1.2628,-0.4173,-0.1778,1.089104,5,2,4,0,4,7,0,0,5,3,0,4,23,19,2,12.5,42,10.5,0,0,32.5
